Step,AgentID,State,Stand,Type
48,A1,DEPARTED,C30,PLB
48,A2,PARKED,C31,PLB
48,A3,PARKED,C32,PLB
48,A4,PARKED,C33,PLB
48,A5,SCHEDULED,,
48,A6,SCHEDULED,,
48,A7,SCHEDULED,,
48,A8,SCHEDULED,,
48,A9,SCHEDULED,,
48,A10,SCHEDULED,,
49,A1,DEPARTED,C30,PLB
49,A2,PARKED,C31,PLB
49,A3,PARKED,C32,PLB
49,A4,PARKED,C33,PLB
49,A5,SCHEDULED,,
49,A6,SCHEDULED,,
49,A7,SCHEDULED,,
49,A8,SCHEDULED,,
49,A9,SCHEDULED,,
49,A10,SCHEDULED,,
50,A1,DEPARTED,C30,PLB
50,A2,PARKED,C31,PLB
50,A3,PARKED,C32,PLB
50,A4,PARKED,C33,PLB
50,A5,SCHEDULED,,
50,A6,SCHEDULED,,
50,A7,SCHEDULED,,
50,A8,SCHEDULED,,
50,A9,SCHEDULED,,
50,A10,SCHEDULED,,
51,A1,DEPARTED,C30,PLB
51,A2,PARKED,C31,PLB
51,A3,PARKED,C32,PLB
51,A4,PARKED,C33,PLB
51,A5,SCHEDULED,,
51,A6,SCHEDULED,,
51,A7,SCHEDULED,,
51,A8,SCHEDULED,,
51,A9,SCHEDULED,,
51,A10,SCHEDULED,,
52,A1,DEPARTED,C30,PLB
52,A2,PARKED,C31,PLB
52,A3,PARKED,C32,PLB
52,A4,PARKED,C33,PLB
52,A5,SCHEDULED,,
52,A6,SCHEDULED,,
52,A7,SCHEDULED,,
52,A8,SCHEDULED,,
52,A9,SCHEDULED,,
52,A10,SCHEDULED,,
53,A1,DEPARTED,C30,PLB
53,A2,PARKED,C31,PLB
53,A3,PARKED,C32,PLB
53,A4,PARKED,C33,PLB
53,A5,SCHEDULED,,
53,A6,SCHEDULED,,
53,A7,SCHEDULED,,
53,A8,SCHEDULED,,
53,A9,SCHEDULED,,
53,A10,SCHEDULED,,
54,A1,DEPARTED,C30,PLB
54,A2,PARKED,C31,PLB
54,A3,PARKED,C32,PLB
54,A4,PARKED,C33,PLB
54,A5,SCHEDULED,,
54,A6,SCHEDULED,,
54,A7,SCHEDULED,,
54,A8,SCHEDULED,,
54,A9,SCHEDULED,,
54,A10,SCHEDULED,,
55,A1,DEPARTED,C30,PLB
55,A2,PARKED,C31,PLB
55,A3,PARKED,C32,PLB
55,A4,PARKED,C33,PLB
55,A5,SCHEDULED,,
55,A6,SCHEDULED,,
55,A7,SCHEDULED,,
55,A8,SCHEDULED,,
55,A9,SCHEDULED,,
55,A10,SCHEDULED,,
56,A1,DEPARTED,C30,PLB
56,A2,PARKED,C31,PLB
56,A3,DEPARTED,C32,PLB
56,A4,PARKED,C33,PLB
56,A5,PARKED,C30,PLB
56,A6,SCHEDULED,,
56,A7,SCHEDULED,,
56,A8,SCHEDULED,,
56,A9,SCHEDULED,,
56,A10,SCHEDULED,,
57,A1,DEPARTED,C30,PLB
57,A2,PARKED,C31,PLB
57,A3,DEPARTED,C32,PLB
57,A4,PARKED,C33,PLB
57,A5,PARKED,C30,PLB
57,A6,SCHEDULED,,
57,A7,SCHEDULED,,
57,A8,SCHEDULED,,
57,A9,SCHEDULED,,
57,A10,SCHEDULED,,
58,A1,DEPARTED,C30,PLB
58,A2,PARKED,C31,PLB
58,A3,DEPARTED,C32,PLB
58,A4,PARKED,C33,PLB
58,A5,PARKED,C30,PLB
58,A6,SCHEDULED,,
58,A7,SCHEDULED,,
58,A8,SCHEDULED,,
58,A9,SCHEDULED,,
58,A10,SCHEDULED,,
59,A1,DEPARTED,C30,PLB
59,A2,PARKED,C31,PLB
59,A3,DEPARTED,C32,PLB
59,A4,PARKED,C33,PLB
59,A5,PARKED,C30,PLB
59,A6,SCHEDULED,,
59,A7,SCHEDULED,,
59,A8,SCHEDULED,,
59,A9,SCHEDULED,,
59,A10,SCHEDULED,,
60,A1,DEPARTED,C30,PLB
60,A2,PARKED,C31,PLB
60,A3,DEPARTED,C32,PLB
60,A4,PARKED,C33,PLB
60,A5,PARKED,C30,PLB
60,A6,SCHEDULED,,
60,A7,SCHEDULED,,
60,A8,SCHEDULED,,
60,A9,SCHEDULED,,
60,A10,SCHEDULED,,
61,A1,DEPARTED,C30,PLB
61,A2,PARKED,C31,PLB
61,A3,DEPARTED,C32,PLB
61,A4,PARKED,C33,PLB
61,A5,PARKED,C30,PLB
61,A6,SCHEDULED,,
61,A7,SCHEDULED,,
61,A8,SCHEDULED,,
61,A9,SCHEDULED,,
61,A10,SCHEDULED,,
62,A1,DEPARTED,C30,PLB
62,A2,PARKED,C31,PLB
62,A3,DEPARTED,C32,PLB
62,A4,PARKED,C33,PLB
62,A5,PARKED,C30,PLB
62,A6,SCHEDULED,,
62,A7,SCHEDULED,,
62,A8,SCHEDULED,,
62,A9,SCHEDULED,,
62,A10,SCHEDULED,,
63,A1,DEPARTED,C30,PLB
63,A2,PARKED,C31,PLB
63,A3,DEPARTED,C32,PLB
63,A4,PARKED,C33,PLB
63,A5,PARKED,C30,PLB
63,A6,SCHEDULED,,
63,A7,SCHEDULED,,
63,A8,SCHEDULED,,
63,A9,SCHEDULED,,
63,A10,SCHEDULED,,
64,A1,DEPARTED,C30,PLB
64,A2,PARKED,C31,PLB
64,A3,DEPARTED,C32,PLB
64,A4,PARKED,C33,PLB
64,A5,PARKED,C30,PLB
64,A6,SCHEDULED,,
64,A7,SCHEDULED,,
64,A8,SCHEDULED,,
64,A9,SCHEDULED,,
64,A10,SCHEDULED,,
65,A1,DEPARTED,C30,PLB
65,A2,PARKED,C31,PLB
65,A3,DEPARTED,C32,PLB
65,A4,PARKED,C33,PLB
65,A5,PARKED,C30,PLB
65,A6,SCHEDULED,,
65,A7,SCHEDULED,,
65,A8,SCHEDULED,,
65,A9,SCHEDULED,,
65,A10,SCHEDULED,,
66,A1,DEPARTED,C30,PLB
66,A2,PARKED,C31,PLB
66,A3,DEPARTED,C32,PLB
66,A4,PARKED,C33,PLB
66,A5,PARKED,C30,PLB
66,A6,SCHEDULED,,
66,A7,SCHEDULED,,
66,A8,SCHEDULED,,
66,A9,SCHEDULED,,
66,A10,SCHEDULED,,
67,A1,DEPARTED,C30,PLB
67,A2,PARKED,C31,PLB
67,A3,DEPARTED,C32,PLB
67,A4,PARKED,C33,PLB
67,A5,PARKED,C30,PLB
67,A6,SCHEDULED,,
67,A7,SCHEDULED,,
67,A8,SCHEDULED,,
67,A9,SCHEDULED,,
67,A10,SCHEDULED,,
68,A1,DEPARTED,C30,PLB
68,A2,PARKED,C31,PLB
68,A3,DEPARTED,C32,PLB
68,A4,PARKED,C33,PLB
68,A5,PARKED,C30,PLB
68,A6,SCHEDULED,,
68,A7,SCHEDULED,,
68,A8,SCHEDULED,,
68,A9,SCHEDULED,,
68,A10,SCHEDULED,,
69,A1,DEPARTED,C30,PLB
69,A2,PARKED,C31,PLB
69,A3,DEPARTED,C32,PLB
69,A4,PARKED,C33,PLB
69,A5,PARKED,C30,PLB
69,A6,SCHEDULED,,
69,A7,SCHEDULED,,
69,A8,SCHEDULED,,
69,A9,SCHEDULED,,
69,A10,SCHEDULED,,
70,A1,DEPARTED,C30,PLB
70,A2,PARKED,C31,PLB
70,A3,DEPARTED,C32,PLB
70,A4,PARKED,C33,PLB
70,A5,PARKED,C30,PLB
70,A6,SCHEDULED,,
70,A7,SCHEDULED,,
70,A8,SCHEDULED,,
70,A9,SCHEDULED,,
70,A10,SCHEDULED,,
71,A1,DEPARTED,C30,PLB
71,A2,DEPARTED,C31,PLB
71,A3,DEPARTED,C32,PLB
71,A4,PARKED,C33,PLB
71,A5,PARKED,C30,PLB
71,A6,SCHEDULED,,
71,A7,SCHEDULED,,
71,A8,SCHEDULED,,
71,A9,SCHEDULED,,
71,A10,SCHEDULED,,
